[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:guster>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:sand_shot>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:gust>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:warped_mosco>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:hemolymph>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:straddler>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:stradpole>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:straddleboard>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:emu>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:emu_egg>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:platypus>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:dropbear>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:tasmanian_devil>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:kangaroo>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:cachalot_whale>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:cachalot_echo>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:leafcutter_ant>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:enderiophage>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:enderiophage_rocket>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:bald_eagle>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:tiger>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:tarantula_hawk>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:void_worm>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:void_worm_part>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:void_worm_shot>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:void_portal>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:frilled_shark>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:mimic_octopus>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:seagull>
